ProductCode,Barcode,UnitPrice
15885,3909700000648,36
15887,3909700000549,36
18189,3909700000556,36
18191,3909700000709,36
18197,3909700000563,36
18198,3909700000693,36
18210,3909700000655,42
18225,3909700000341,42
18227,3909700000334,36
18230,3909700000501,36
18232,3909700000631,36
18235,3909700000495,36
5284,3909700000532,36
5309,3909700000723,36
5317,3909700000327,36
75522,3909700000433,36
7793,3909700000365,42
7794,3909700000358,36
88695,3909700000525,30
CY5501,39097000003110,36
CY5505,3909700000488,30
CY5506,39097000007310,42
CY5508,3909700000716,36
CY5509,3909700000297,30
CY5511,3909700000303,36
CY5515,3909700000273,36
CY5516A,39097000002810,36
CY5519,3909700000266,42
CY5520,3909700000747,36
CY5523,3909700000235,30
CY5524,3909700000228,36
CY5526,3909700000259,36
CY5527,3909700000242,24
CY5531,3909700000198,30
CY5532-1,3909700000181,36
CY5533,3909700000174,24
CY5534,3909700000204,36
CY5535-1,3909700000211,30
CY5537,3909700000167,24
CY5538-1,3909700000143,24
CY5548,3909700000136,36
CY5552,39097000001510,36
CY5568,3909700000129,30
CY5571-1,3909700000112,36
CY5572,3909700000099,36
CY5577,3909700000105,36
CY5579,3909700000051,36
CY5582-1,3909700000075,36
CY5589,3909700000082,42
CY5592-1,3909700000044,36
CY5593,3909700000068,36
CY5595,3909700000037,36
CY5603,39097000000210,36
CY5605-1,3909700000013,36
CY5606,3909700000679,42
CY5608,3909700000686,42
CY5609,3909700000662,36
JH14,3909700000518,36
JH15,39097000005710,36
KD97193,39097000004410,36
KD97208,3909700000457,36
KD97214,3909700000464,36
KD97225,3909700000471,42
WF1203,3909700000587,36
WF1216,39097000006010,42
WF1219,3909700000594,36
WF1231,3909700000624,36
WF1237,3909700000617,36
WF1251,3909700000778,36
WF1275,3909700000761,36
WF1276,3909700000754,36
WF8855,3909700000785,36
YT77130,3909700000426,36
YT7757,3909700000419,36
YT7765,3909700000402,36
YT7775,3909700000396,36
YT7791,3909700000389,36
YT7798,3909700000372,42